,ID,Match,Numéro de joueuse,Nom joueuse,Equipe,Vidéo,Minute,Mi-temps,Tirs,7m,Buts,Zone cage (1 à 9),Zone terrain (1 à 10),Attaque,Contre-attaque,Attaque placée,Défense,Type erreur/faute,Zone,Marcher,Reprise de dribbles,Mauvaise relance,Passage en force,Balle perdue,Faute subie,Tir contré,2' provoqué ,7m provoqué,Duel gagné,Relance joueur,7m concédé,Duel perdu,Zone2,Faute,Contre défensif,Passage en force provoqué,Interception,Ballon récupéré,Rouge,Jaune,2',But encaissé,But 7M,Mauvaise relance ,Arrêt Jeu,Arrêt 7m,Relance,Relance avec but,Filtre,Filtre Mi-Temps
14,81,1,18,PRADIER,HBPC,94,0.09930555555555555,1T,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1
15,75,1,14,RICHARD,HBPC,95,0.049305555555555554,1T,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,Balle perdue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
16,82,1,17,BASTARDIE,HBPC,95,0.007638888888888889,1T,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,Balle perdue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
17,83,1,2,DEUMIE,HBPC,95,0.03680555555555556,1T,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
18,84,1,18,SIAPO,HBPC,95,0.07152777777777779,1T,0.0,0.0,0.0,7,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
19,85,1,22,ESTACHY,HBPC,95,0.09722222222222222,1T,0.0,0.0,0.0,0,7.0,0.0,0.0,1.0,0.0,Balle perdue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
20,86,1,6,PRADIER,HBPC,96,0.012499999999999999,1T,1.0,0.0,0.0,9,5.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
21,87,1,18,RICHARD,HBPC,96,0.024305555555555556,1T,1.0,0.0,0.0,7,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1
22,88,1,3,BASTARDIE,HBPC,96,0.05625,1T,1.0,0.0,0.0,5,3.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
23,89,1,6,DEUMIE,HBPC,96,0.06527777777777778,1T,1.0,0.0,1.0,6,5.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
24,90,1,14,SIAPO,HBPC,96,0.10486111111111111,1T,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
25,91,1,22,ESTACHY,HBPC,96,0.1076388888888889,1T,0.0,0.0,0.0,0,6.0,0.0,1.0,0.0,0.0,Balle perdue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
26,92,1,18,PRADIER,HBPC,96,0.13125,1T,1.0,0.0,0.0,1,8.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
27,93,1,22,RICHARD,HBPC,96,0.1423611111111111,1T,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
28,94,1,10,BASTARDIE,HBPC,96,0.15277777777777776,1T,1.0,1.0,0.0,6,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
29,95,1,18,DEUMIE,HBPC,96,0.17569444444444446,1T,1.0,0.0,0.0,4,3.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
30,96,1,22,SIAPO,HBPC,96,0.21944444444444444,1T,1.0,0.0,1.0,3,2.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
31,97,1,18,ESTACHY,HBPC,96,0.23958333333333334,1T,1.0,0.0,0.0,6,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
32,98,1,2,PRADIER,HBPC,96,0.24583333333333335,1T,0.0,0.0,0.0,0,6.0,0.0,0.0,1.0,0.0,Reprise de dribbles,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
33,99,1,22,RICHARD,HBPC,96,0.2590277777777778,1T,1.0,0.0,0.0,2,2.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
34,100,1,2,BASTARDIE,HBPC,96,0.2847222222222222,1T,0.0,0.0,0.0,0,3.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
35,101,1,18,DEUMIE,HBPC,96,0.2986111111111111,1T,0.0,0.0,0.0,4,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
36,102,1,10,SIAPO,HBPC,96,0.325,1T,0.0,0.0,0.0,0,7.0,0.0,0.0,1.0,0.0,Balle perdue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
37,103,1,18,ESTACHY,HBPC,96,0.3541666666666667,1T,1.0,0.0,0.0,4,3.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
38,104,1,15,PRADIER,HBPC,96,0.3819444444444444,1T,1.0,0.0,0.0,hors cadre,7.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
39,105,1,14,RICHARD,HBPC,96,0.3909722222222222,1T,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
40,106,1,1,BASTARDIE,HBPC,96,0.4166666666666667,1T,0.0,0.0,0.0,4,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1
41,44,1,22,DEUMIE,HBPC,97,0.06736111111111111,1T,1.0,0.0,0.0,hors cadre,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
